timestamp,key,year,month,status,file,size_mb,note
2026-09-10T16:27:43.682701,sss,2022,8,SUCCESS,sss_2022-08.nc,2.59,ok | 2022-08-01–2022-08-31 | N_times=31
2026-09-10T16:28:08.032217,sss,2022,9,SUCCESS,sss_2022-09.nc,2.51,ok | 2022-09-01–2022-09-30 | N_times=30
2026-09-10T16:28:23.674679,sss,2022,10,SUCCESS,sss_2022-10.nc,2.59,ok | 2022-10-01–2022-10-31 | N_times=31
2026-09-10T16:28:37.216733,sss,2022,11,SUCCESS,sss_2022-11.nc,2.51,ok | 2022-11-01–2022-11-30 | N_times=30
2026-09-10T16:28:49.770722,sss,2022,12,SUCCESS,sss_2022-12.nc,2.59,ok | 2022-12-01–2022-12-31 | N_times=31
2026-09-10T16:29:04.707908,sss,2023,1,SUCCESS,sss_2023-01.nc,2.59,ok | 2023-01-01–2023-01-31 | N_times=31
2026-09-10T16:29:18.036847,sss,2023,2,SUCCESS,sss_2023-02.nc,2.34,ok | 2023-02-01–2023-02-28 | N_times=28
2026-09-10T16:29:31.464568,sss,2023,3,SUCCESS,sss_2023-03.nc,2.59,ok | 2023-03-01–2023-03-31 | N_times=31
2026-09-10T16:29:45.349427,sss,2023,4,SUCCESS,sss_2023-04.nc,2.51,ok | 2023-04-01–2023-04-30 | N_times=30
2026-09-10T16:30:08.317916,sss,2023,5,SUCCESS,sss_2023-05.nc,2.59,ok | 2023-05-01–2023-05-31 | N_times=31
2026-09-10T16:30:21.367235,sss,2023,6,SUCCESS,sss_2023-06.nc,2.51,ok | 2023-06-01–2023-06-30 | N_times=30
2026-09-10T16:30:34.338198,sss,2023,7,SUCCESS,sss_2023-07.nc,2.59,ok | 2023-07-01–2023-07-31 | N_times=31
2026-09-10T16:30:52.302204,sss,2023,8,SUCCESS,sss_2023-08.nc,2.59,ok | 2023-08-01–2023-08-31 | N_times=31
2026-09-10T16:31:03.455711,sss,2023,9,SUCCESS,sss_2023-09.nc,2.51,ok | 2023-09-01–2023-09-30 | N_times=30
2026-09-10T16:31:14.981269,sss,2023,10,SUCCESS,sss_2023-10.nc,2.59,ok | 2023-10-01–2023-10-31 | N_times=31
2026-09-10T16:31:26.950260,sss,2023,11,SUCCESS,sss_2023-11.nc,2.51,ok | 2023-11-01–2023-11-30 | N_times=30
2026-09-10T16:31:39.142437,sss,2023,12,SUCCESS,sss_2023-12.nc,2.59,ok | 2023-12-01–2023-12-31 | N_times=31
2026-09-10T16:31:56.766830,altimetry,2022,1,SUCCESS,altimetry_2022-01.nc,7.75,ok | 2022-01-01–2022-01-31 | N_times=31
2026-09-10T16:32:10.308106,altimetry,2022,2,SUCCESS,altimetry_2022-02.nc,7.0,ok | 2022-02-01–2022-02-28 | N_times=28
2026-09-10T16:32:26.960524,altimetry,2022,3,SUCCESS,altimetry_2022-03.nc,7.75,ok | 2022-03-01–2022-03-31 | N_times=31
2026-09-10T16:32:42.744855,altimetry,2022,4,SUCCESS,altimetry_2022-04.nc,7.5,ok | 2022-04-01–2022-04-30 | N_times=30
2026-09-10T16:32:59.635614,altimetry,2022,5,SUCCESS,altimetry_2022-05.nc,7.75,ok | 2022-05-01–2022-05-31 | N_times=31
2026-09-10T16:33:14.938600,altimetry,2022,6,SUCCESS,altimetry_2022-06.nc,7.5,ok | 2022-06-01–2022-06-30 | N_times=30
2026-09-10T16:33:31.611791,altimetry,2022,7,SUCCESS,altimetry_2022-07.nc,7.75,ok | 2022-07-01–2022-07-31 | N_times=31
2026-09-10T16:33:46.863733,altimetry,2022,8,SUCCESS,altimetry_2022-08.nc,7.75,ok | 2022-08-01–2022-08-31 | N_times=31
2026-09-10T16:34:02.749939,altimetry,2022,9,SUCCESS,altimetry_2022-09.nc,7.5,ok | 2022-09-01–2022-09-30 | N_times=30
2026-09-10T16:34:16.381599,altimetry,2022,10,SUCCESS,altimetry_2022-10.nc,7.75,ok | 2022-10-01–2022-10-31 | N_times=31
2026-09-10T16:34:33.388324,altimetry,2022,11,SUCCESS,altimetry_2022-11.nc,7.5,ok | 2022-11-01–2022-11-30 | N_times=30
2026-09-10T16:34:46.485252,altimetry,2022,12,SUCCESS,altimetry_2022-12.nc,7.75,ok | 2022-12-01–2022-12-31 | N_times=31
2026-09-10T16:35:03.119575,altimetry,2023,1,SUCCESS,altimetry_2023-01.nc,7.75,ok | 2023-01-01–2023-01-31 | N_times=31
2026-09-10T16:35:16.984816,altimetry,2023,2,SUCCESS,altimetry_2023-02.nc,7.0,ok | 2023-02-01–2023-02-28 | N_times=28
2026-09-10T16:35:32.546699,altimetry,2023,3,SUCCESS,altimetry_2023-03.nc,7.75,ok | 2023-03-01–2023-03-31 | N_times=31
2026-09-10T16:35:46.275440,altimetry,2023,4,SUCCESS,altimetry_2023-04.nc,7.5,ok | 2023-04-01–2023-04-30 | N_times=30
2026-09-10T16:36:02.274946,altimetry,2023,5,SUCCESS,altimetry_2023-05.nc,7.75,ok | 2023-05-01–2023-05-31 | N_times=31
2026-09-10T16:36:16.733024,altimetry,2023,6,SUCCESS,altimetry_2023-06.nc,7.5,ok | 2023-06-01–2023-06-30 | N_times=30
2026-09-10T16:36:31.885381,altimetry,2023,7,SUCCESS,altimetry_2023-07.nc,7.75,ok | 2023-07-01–2023-07-31 | N_times=31
2026-09-10T16:36:46.302097,altimetry,2023,8,SUCCESS,altimetry_2023-08.nc,7.75,ok | 2023-08-01–2023-08-31 | N_times=31
2026-09-10T16:37:00.315710,altimetry,2023,9,SUCCESS,altimetry_2023-09.nc,7.5,ok | 2023-09-01–2023-09-30 | N_times=30
2026-09-10T16:37:16.933074,altimetry,2023,10,SUCCESS,altimetry_2023-10.nc,7.75,ok | 2023-10-01–2023-10-31 | N_times=31
2026-09-10T16:37:31.648137,altimetry,2023,11,SUCCESS,altimetry_2023-11.nc,7.5,ok | 2023-11-01–2023-11-30 | N_times=30
2026-09-10T16:37:48.716903,altimetry,2023,12,SUCCESS,altimetry_2023-12.nc,7.75,ok | 2023-12-01–2023-12-31 | N_times=31
2026-09-10T16:39:33.270108,wind,2022,1,SUCCESS,wind_2022-01.nc,10.32,ok | 2022-01-01–2022-01-31 | N_times=31
2026-09-10T16:40:31.951411,wind,2022,2,SUCCESS,wind_2022-02.nc,9.32,ok | 2022-02-01–2022-02-28 | N_times=28
2026-09-10T16:41:39.148948,wind,2022,3,SUCCESS,wind_2022-03.nc,10.32,ok | 2022-03-01–2022-03-31 | N_times=31
2026-09-10T16:42:51.273018,wind,2022,4,SUCCESS,wind_2022-04.nc,9.99,ok | 2022-04-01–2022-04-30 | N_times=30
2026-09-10T16:43:57.708683,wind,2022,5,SUCCESS,wind_2022-05.nc,10.32,ok | 2022-05-01–2022-05-31 | N_times=31
2026-09-10T16:45:09.387547,wind,2022,6,SUCCESS,wind_2022-06.nc,9.99,ok | 2022-06-01–2022-06-30 | N_times=30
2026-09-10T16:46:32.731916,wind,2022,7,SUCCESS,wind_2022-07.nc,10.32,ok | 2022-07-01–2022-07-31 | N_times=31
2026-09-10T16:47:51.390842,wind,2022,8,SUCCESS,wind_2022-08.nc,10.32,ok | 2022-08-01–2022-08-31 | N_times=31
2026-09-10T16:49:05.717242,wind,2022,9,SUCCESS,wind_2022-09.nc,9.99,ok | 2022-09-01–2022-09-30 | N_times=30
2026-09-10T16:50:24.411739,wind,2022,10,SUCCESS,wind_2022-10.nc,10.32,ok | 2022-10-01–2022-10-31 | N_times=31
2026-09-10T16:51:51.928310,wind,2022,11,SUCCESS,wind_2022-11.nc,9.99,ok | 2022-11-01–2022-11-30 | N_times=30
2026-09-10T16:53:05.337958,wind,2022,12,SUCCESS,wind_2022-12.nc,10.32,ok | 2022-12-01–2022-12-31 | N_times=31
2026-09-10T16:54:13.562515,wind,2023,1,SUCCESS,wind_2023-01.nc,10.32,ok | 2023-01-01–2023-01-31 | N_times=31
2026-09-10T16:55:25.095407,wind,2023,2,SUCCESS,wind_2023-02.nc,9.32,ok | 2023-02-01–2023-02-28 | N_times=28
2026-09-10T16:56:44.396004,wind,2023,3,SUCCESS,wind_2023-03.nc,10.32,ok | 2023-03-01–2023-03-31 | N_times=31
2026-09-10T16:58:10.341466,wind,2023,4,SUCCESS,wind_2023-04.nc,9.99,ok | 2023-04-01–2023-04-30 | N_times=30
2026-09-10T16:59:33.535939,wind,2023,5,SUCCESS,wind_2023-05.nc,10.32,ok | 2023-05-01–2023-05-31 | N_times=31
2026-09-10T17:01:25.970161,wind,2023,6,SUCCESS,wind_2023-06.nc,9.99,ok | 2023-06-01–2023-06-30 | N_times=30
2026-09-10T17:02:49.175404,wind,2023,7,SUCCESS,wind_2023-07.nc,10.32,ok | 2023-07-01–2023-07-31 | N_times=31
2026-09-10T17:04:01.632934,wind,2023,8,SUCCESS,wind_2023-08.nc,10.32,ok | 2023-08-01–2023-08-31 | N_times=31
2026-09-10T17:05:19.152035,wind,2023,9,SUCCESS,wind_2023-09.nc,9.99,ok | 2023-09-01–2023-09-30 | N_times=30
2026-09-10T17:07:17.294111,wind,2023,10,SUCCESS,wind_2023-10.nc,10.32,ok | 2023-10-01–2023-10-31 | N_times=31
2026-09-10T17:09:15.563562,wind,2023,11,SUCCESS,wind_2023-11.nc,9.99,ok | 2023-11-01–2023-11-30 | N_times=30
2026-09-10T17:10:48.594996,wind,2023,12,SUCCESS,wind_2023-12.nc,10.32,ok | 2023-12-01–2023-12-31 | N_times=31
2026-09-10T17:14:35.096563,glorys,2022,1,SUCCESS,glorys_2022-01.nc,105.19,ok | 2022-01-01–2022-01-31 | N_times=31
2026-09-10T17:20:46.648084,glorys,2022,2,FAILED,,0,SSL validation failed for https://s3.waw3-1.cloudferro.com/mdl-arco-time-025/arco/GLOBAL_MULTIYEAR_PHY_001_030/cmems_mod_glo_phy_my_0.083deg_P1D-m_202311/timeChunked.zarr/thetao/10641.27.2.1?x-cop-cli
2026-09-10T17:22:23.994997,glorys,2022,3,FAILED,,0,
2026-09-10T18:04:07.433125,glorys,2022,1,CACHED,glorys_2022-01.nc,105.19,ok | 2022-01-01–2022-01-31 | N_times=31
2026-09-10T18:06:27.333444,glorys,2022,2,SUCCESS,glorys_2022-02.nc,95.01,ok | 2022-02-01–2022-02-28 | N_times=28
2026-09-10T18:14:29.632003,glorys,2022,3,SUCCESS,glorys_2022-03.nc,105.19,ok | 2022-03-01–2022-03-31 | N_times=31
2026-09-10T18:16:51.530648,glorys,2022,4,SUCCESS,glorys_2022-04.nc,101.79,ok | 2022-04-01–2022-04-30 | N_times=30
2026-09-10T18:18:57.366397,glorys,2022,5,SUCCESS,glorys_2022-05.nc,105.19,ok | 2022-05-01–2022-05-31 | N_times=31
2026-09-10T18:22:16.674233,glorys,2022,6,SUCCESS,glorys_2022-06.nc,101.79,ok | 2022-06-01–2022-06-30 | N_times=30
2026-09-10T18:28:17.958390,glorys,2022,7,SUCCESS,glorys_2022-07.nc,105.19,ok | 2022-07-01–2022-07-31 | N_times=31
2026-09-10T18:30:26.730769,glorys,2022,8,SUCCESS,glorys_2022-08.nc,105.19,ok | 2022-08-01–2022-08-31 | N_times=31
2026-09-10T18:32:33.784301,glorys,2022,9,SUCCESS,glorys_2022-09.nc,101.79,ok | 2022-09-01–2022-09-30 | N_times=30
2026-09-10T18:34:45.333523,glorys,2022,10,SUCCESS,glorys_2022-10.nc,105.19,ok | 2022-10-01–2022-10-31 | N_times=31
2026-09-10T18:36:49.454515,glorys,2022,11,SUCCESS,glorys_2022-11.nc,101.79,ok | 2022-11-01–2022-11-30 | N_times=30
2026-09-10T18:39:07.198874,glorys,2022,12,SUCCESS,glorys_2022-12.nc,105.19,ok | 2022-12-01–2022-12-31 | N_times=31
2026-09-10T18:41:08.923574,glorys,2023,1,SUCCESS,glorys_2023-01.nc,105.19,ok | 2023-01-01–2023-01-31 | N_times=31
2026-09-10T18:43:04.599579,glorys,2023,2,SUCCESS,glorys_2023-02.nc,95.01,ok | 2023-02-01–2023-02-28 | N_times=28
2026-09-10T18:45:19.688158,glorys,2023,3,SUCCESS,glorys_2023-03.nc,105.19,ok | 2023-03-01–2023-03-31 | N_times=31
2026-09-10T18:47:43.747987,glorys,2023,4,SUCCESS,glorys_2023-04.nc,101.79,ok | 2023-04-01–2023-04-30 | N_times=30
2026-09-10T18:52:05.102069,glorys,2023,5,SUCCESS,glorys_2023-05.nc,105.19,ok | 2023-05-01–2023-05-31 | N_times=31
2026-09-10T18:55:38.433498,glorys,2023,6,SUCCESS,glorys_2023-06.nc,101.79,ok | 2023-06-01–2023-06-30 | N_times=30
2026-09-10T18:57:50.330944,glorys,2023,7,SUCCESS,glorys_2023-07.nc,105.19,ok | 2023-07-01–2023-07-31 | N_times=31
2026-09-10T19:10:28.420179,glorys,2023,8,SUCCESS,glorys_2023-08.nc,105.19,ok | 2023-08-01–2023-08-31 | N_times=31
2026-09-10T19:13:04.193207,glorys,2023,9,SUCCESS,glorys_2023-09.nc,101.79,ok | 2023-09-01–2023-09-30 | N_times=30
2026-09-10T19:18:55.980344,glorys,2023,10,SUCCESS,glorys_2023-10.nc,105.19,ok | 2023-10-01–2023-10-31 | N_times=31
2026-09-10T19:22:16.036648,glorys,2023,11,SUCCESS,glorys_2023-11.nc,101.79,ok | 2023-11-01–2023-11-30 | N_times=30
2026-09-10T19:25:15.865486,glorys,2023,12,SUCCESS,glorys_2023-12.nc,105.19,ok | 2023-12-01–2023-12-31 | N_times=31
